dest,user,"parent_process","process_name",process,"process_id","parent_process_id",count,firstTime,lastTime
"ar-win-2.attackrange.local",Administrator,"""cmd.exe"" /c ""reg save HKLM\sam %temp%\sam &amp; reg save HKLM\system %temp%\system &amp; reg save HKLM\security %temp%\security""","reg.exe","reg  save HKLM\sam C:\Users\ADMINI~1\AppData\Local\Temp\sam",2736,3364,1,"2023-09-24T11:19:07","2023-09-24T11:19:07"
"ar-win-2.attackrange.local",Administrator,"""cmd.exe"" /c ""reg save HKLM\sam %temp%\sam &amp; reg save HKLM\system %temp%\system &amp; reg save HKLM\security %temp%\security""","reg.exe","reg  save HKLM\security C:\Users\ADMINI~1\AppData\Local\Temp\security",3184,3364,1,"2023-09-24T11:19:08","2023-09-24T11:19:08"
"ar-win-2.attackrange.local",Administrator,"C:\Windows\System32\cmd.exe","reg.exe","C:\Windows\System32\reg.exe save HKLM\sam C:\Users\ADMINI~1\AppData\Local\Temp\sam",0xab0,0xd24,1,"2023-09-24T11:19:07","2023-09-24T11:19:07"
"ar-win-2.attackrange.local",Administrator,"C:\Windows\System32\cmd.exe","reg.exe","C:\Windows\System32\reg.exe save HKLM\security C:\Users\ADMINI~1\AppData\Local\Temp\security",0xc70,0xd24,1,"2023-09-24T11:19:08","2023-09-24T11:19:08"
"ar-win-dc.attackrange.local",Administrator,"""cmd.exe"" /c ""reg save HKLM\sam %temp%\sam &amp; reg save HKLM\system %temp%\system &amp; reg save HKLM\security %temp%\security""","reg.exe","reg  save HKLM\sam C:\Users\ADMINI~1\AppData\Local\Temp\sam",3916,4504,1,"2023-09-24T10:36:10","2023-09-24T10:36:10"
"ar-win-dc.attackrange.local",Administrator,"""cmd.exe"" /c ""reg save HKLM\sam %temp%\sam &amp; reg save HKLM\system %temp%\system &amp; reg save HKLM\security %temp%\security""","reg.exe","reg  save HKLM\security C:\Users\ADMINI~1\AppData\Local\Temp\security",3972,4504,1,"2023-09-24T10:36:10","2023-09-24T10:36:10"
"ar-win-dc.attackrange.local",Administrator,"""cmd.exe"" /c ""reg save HKLM\sam %temp%\sam &amp; reg save HKLM\system %temp%\system &amp; reg save HKLM\security %temp%\security""","reg.exe","reg  save HKLM\system C:\Users\ADMINI~1\AppData\Local\Temp\system",4136,4504,1,"2023-09-24T10:36:10","2023-09-24T10:36:10"
"ar-win-dc.attackrange.local",Administrator,"C:\Windows\System32\cmd.exe","reg.exe","C:\Windows\System32\reg.exe save HKLM\sam C:\Users\ADMINI~1\AppData\Local\Temp\sam",0xf4c,0x1198,1,"2023-09-24T10:36:10","2023-09-24T10:36:10"
"ar-win-dc.attackrange.local",Administrator,"C:\Windows\System32\cmd.exe","reg.exe","C:\Windows\System32\reg.exe save HKLM\security C:\Users\ADMINI~1\AppData\Local\Temp\security",0xf84,0x1198,1,"2023-09-24T10:36:10","2023-09-24T10:36:10"
"ar-win-dc.attackrange.local",Administrator,"C:\Windows\System32\cmd.exe","reg.exe","C:\Windows\System32\reg.exe save HKLM\system C:\Users\ADMINI~1\AppData\Local\Temp\system",0x1028,0x1198,1,"2023-09-24T10:36:10","2023-09-24T10:36:10"
