process,"process_name","parent_process_name",dest,firstTime,lastTime
"""C:\Windows\system32\cmd.exe"" /c ""IF EXIST %%temp%%\T1222.001-folder-perms-backup.txt ( EXIT 0 ) ELSE ( EXIT 1 )""","cmd.exe","powershell.exe","ar-win-2.attackrange.local","2023-10-04T09:01:11","2023-10-04T09:01:11"
"""C:\Windows\system32\cmd.exe"" /c ""IF EXIST %%temp%%\T1222.001-folder-perms-backup.txt ( EXIT 0 ) ELSE ( EXIT 1 )""","cmd.exe","powershell.exe","ar-win-dc.attackrange.local","2023-10-04T09:00:41","2023-10-04T09:00:41"
"""C:\Windows\system32\cmd.exe"" /c ""IF EXIST %%temp%%\T1222.001_attrib ( EXIT 0 ) ELSE ( EXIT 1 )""","cmd.exe","powershell.exe","ar-win-2.attackrange.local","2023-10-04T09:01:11","2023-10-04T09:01:11"
"""C:\Windows\system32\cmd.exe"" /c ""IF EXIST %%temp%%\T1222.001_attrib ( EXIT 0 ) ELSE ( EXIT 1 )""","cmd.exe","powershell.exe","ar-win-dc.attackrange.local","2023-10-04T09:00:41","2023-10-04T09:00:41"
"""C:\Windows\system32\cmd.exe"" /c ""IF EXIST %%temp%%\T1222.001_cacls ( EXIT 0 ) ELSE ( EXIT 1 )""","cmd.exe","powershell.exe","ar-win-2.attackrange.local","2023-10-04T09:01:11","2023-10-04T09:01:11"
"""C:\Windows\system32\cmd.exe"" /c ""IF EXIST %%temp%%\T1222.001_cacls ( EXIT 0 ) ELSE ( EXIT 1 )""","cmd.exe","powershell.exe","ar-win-dc.attackrange.local","2023-10-04T09:00:41","2023-10-04T09:00:41"
"""C:\Windows\system32\cmd.exe"" /c ""IF EXIST %%temp%%\T1222.001_takeown_folder ( EXIT 0 ) ELSE ( EXIT 1 )""","cmd.exe","powershell.exe","ar-win-2.attackrange.local","2023-10-04T09:01:11","2023-10-04T09:01:11"
"""C:\Windows\system32\cmd.exe"" /c ""IF EXIST %%temp%%\T1222.001_takeown_folder ( EXIT 0 ) ELSE ( EXIT 1 )""","cmd.exe","powershell.exe","ar-win-dc.attackrange.local","2023-10-04T09:00:41","2023-10-04T09:00:41"
"""C:\Windows\system32\cmd.exe"" /c ""IF EXIST %temp%\T1222.001-folder-perms-backup.txt ( EXIT 0 ) ELSE ( EXIT 1 )""","cmd.exe","powershell.exe","ar-win-2.attackrange.local","2023-10-04T09:01:11","2023-10-04T09:01:11"
"""C:\Windows\system32\cmd.exe"" /c ""IF EXIST %temp%\T1222.001-folder-perms-backup.txt ( EXIT 0 ) ELSE ( EXIT 1 )""","cmd.exe","powershell.exe","ar-win-dc.attackrange.local","2023-10-04T09:00:41","2023-10-04T09:00:41"
"""C:\Windows\system32\cmd.exe"" /c ""IF EXIST %temp%\T1222.001_attrib ( EXIT 0 ) ELSE ( EXIT 1 )""","cmd.exe","powershell.exe","ar-win-2.attackrange.local","2023-10-04T09:01:11","2023-10-04T09:01:11"
"""C:\Windows\system32\cmd.exe"" /c ""IF EXIST %temp%\T1222.001_attrib ( EXIT 0 ) ELSE ( EXIT 1 )""","cmd.exe","powershell.exe","ar-win-dc.attackrange.local","2023-10-04T09:00:41","2023-10-04T09:00:41"
"""C:\Windows\system32\cmd.exe"" /c ""IF EXIST %temp%\T1222.001_cacls ( EXIT 0 ) ELSE ( EXIT 1 )""","cmd.exe","powershell.exe","ar-win-2.attackrange.local","2023-10-04T09:01:11","2023-10-04T09:01:11"
