"process_name","original_file_name",process,"process_id","process_guid","parent_process_name","parent_process","parent_process_guid",dest,user,count,firstTime,lastTime
"net.exe","net.exe","net.exe  stop spooler",3888,"{01E7F52A-2D55-651D-D003-000000001803}","cmd.exe","""cmd.exe"" /c ""net.exe stop spooler""","{01E7F52A-2D55-651D-CE03-000000001803}","ar-win-2.attackrange.local",Administrator,1,"2023-10-04T09:16:05","2023-10-04T09:16:05"
"net.exe","net.exe","net.exe  stop spooler",992,"{4D0AC804-2D3A-651D-CF04-000000001703}","cmd.exe","""cmd.exe"" /c ""net.exe stop spooler""","{4D0AC804-2D3A-651D-CD04-000000001703}","ar-win-dc.attackrange.local",Administrator,1,"2023-10-04T09:15:38","2023-10-04T09:15:38"
"net.exe",unknown,"C:\Windows\System32\net.exe stop spooler",0x3e0,null,"cmd.exe","C:\Windows\System32\cmd.exe",null,"ar-win-dc.attackrange.local",Administrator,1,"2023-10-04T09:15:38","2023-10-04T09:15:38"
"net.exe",unknown,"C:\Windows\System32\net.exe stop spooler",0xf30,null,"cmd.exe","C:\Windows\System32\cmd.exe",null,"ar-win-2.attackrange.local",Administrator,1,"2023-10-04T09:16:05","2023-10-04T09:16:05"
"net1.exe","net1.exe","C:\Windows\system32\net1  stop spooler",3924,"{01E7F52A-2D55-651D-D103-000000001803}","net.exe","net.exe  stop spooler","{01E7F52A-2D55-651D-D003-000000001803}","ar-win-2.attackrange.local",Administrator,1,"2023-10-04T09:16:05","2023-10-04T09:16:05"
"net1.exe","net1.exe","C:\Windows\system32\net1  stop spooler",860,"{4D0AC804-2D3A-651D-D004-000000001703}","net.exe","net.exe  stop spooler","{4D0AC804-2D3A-651D-CF04-000000001703}","ar-win-dc.attackrange.local",Administrator,1,"2023-10-04T09:15:38","2023-10-04T09:15:38"
"net1.exe",unknown,"C:\Windows\system32\net1  stop spooler",0x35c,null,"net.exe","C:\Windows\System32\net.exe",null,"ar-win-dc.attackrange.local",Administrator,1,"2023-10-04T09:15:38","2023-10-04T09:15:38"
"net1.exe",unknown,"C:\Windows\system32\net1  stop spooler",0xf54,null,"net.exe","C:\Windows\System32\net.exe",null,"ar-win-2.attackrange.local",Administrator,1,"2023-10-04T09:16:05","2023-10-04T09:16:05"
"sc.exe","sc.exe","sc.exe  stop spooler",1460,"{01E7F52A-2D54-651D-CD03-000000001803}","cmd.exe","""cmd.exe"" /c ""sc.exe stop spooler""","{01E7F52A-2D54-651D-CB03-000000001803}","ar-win-2.attackrange.local",Administrator,1,"2023-10-04T09:16:04","2023-10-04T09:16:04"
"sc.exe","sc.exe","sc.exe  stop spooler",1560,"{4D0AC804-2D39-651D-CC04-000000001703}","cmd.exe","""cmd.exe"" /c ""sc.exe stop spooler""","{4D0AC804-2D39-651D-CA04-000000001703}","ar-win-dc.attackrange.local",Administrator,1,"2023-10-04T09:15:37","2023-10-04T09:15:37"
"sc.exe",unknown,"C:\Windows\System32\sc.exe stop spooler",0x5b4,null,"cmd.exe","C:\Windows\System32\cmd.exe",null,"ar-win-2.attackrange.local",Administrator,1,"2023-10-04T09:16:04","2023-10-04T09:16:04"
"sc.exe",unknown,"C:\Windows\System32\sc.exe stop spooler",0x618,null,"cmd.exe","C:\Windows\System32\cmd.exe",null,"ar-win-dc.attackrange.local",Administrator,1,"2023-10-04T09:15:37","2023-10-04T09:15:37"
