dest,user,"parent_process","process_name",process,"process_id","parent_process_id",count,firstTime,lastTime
"ar-win-2.attackrange.local","AR-WIN-2$","C:\Program Files\SplunkUniversalForwarder\bin\splunk.exe","btool.exe","""C:\Program Files\SplunkUniversalForwarder\bin\btool"" check --no-log",0xa28,0x734,1,"2023-09-24T09:58:54","2023-09-24T09:58:54"
"ar-win-2.attackrange.local","AR-WIN-2$","C:\Program Files\SplunkUniversalForwarder\bin\splunk.exe","btool.exe","""C:\Program Files\SplunkUniversalForwarder\bin\btool"" validate-regex --log-warnings",0xaac,0x734,1,"2023-09-24T09:58:55","2023-09-24T09:58:55"
"ar-win-2.attackrange.local","AR-WIN-2$","C:\Program Files\SplunkUniversalForwarder\bin\splunk.exe","btool.exe","""C:\Program Files\SplunkUniversalForwarder\bin\btool"" validate-strptime --log-warnings",0xad4,0x734,1,"2023-09-24T09:58:54","2023-09-24T09:58:54"
"ar-win-2.attackrange.local","AR-WIN-2$","C:\Program Files\SplunkUniversalForwarder\bin\splunk.exe","cmd.exe","C:\Windows\system32\cmd.exe /c btool server list general --no-log",0xae4,0xa94,1,"2023-09-24T09:58:52","2023-09-24T09:58:52"
"ar-win-2.attackrange.local","AR-WIN-2$","C:\Program Files\SplunkUniversalForwarder\bin\splunk.exe","cmd.exe","C:\Windows\system32\cmd.exe /c btool server list general --no-log",0xbb8,0x734,1,"2023-09-24T09:58:56","2023-09-24T09:58:56"
"ar-win-2.attackrange.local","AR-WIN-2$","C:\Program Files\SplunkUniversalForwarder\bin\splunk.exe","cmd.exe","C:\Windows\system32\cmd.exe /c btool server list kvstore --no-log",0xb44,0xa94,1,"2023-09-24T09:58:52","2023-09-24T09:58:52"
"ar-win-2.attackrange.local","AR-WIN-2$","C:\Program Files\SplunkUniversalForwarder\bin\splunk.exe","cmd.exe","C:\Windows\system32\cmd.exe /c btool server list replication_port --no-log",0xb70,0x734,1,"2023-09-24T09:58:56","2023-09-24T09:58:56"
"ar-win-2.attackrange.local","AR-WIN-2$","C:\Program Files\SplunkUniversalForwarder\bin\splunk.exe","cmd.exe","C:\Windows\system32\cmd.exe /c btool server list sslConfig --no-log",0xbcc,0xa94,1,"2023-09-24T09:58:53","2023-09-24T09:58:53"
"ar-win-2.attackrange.local","AR-WIN-2$","C:\Program Files\SplunkUniversalForwarder\bin\splunk.exe","cmd.exe","C:\Windows\system32\cmd.exe /c btool server list watchdog --no-log",0xb7c,0xa94,1,"2023-09-24T09:58:52","2023-09-24T09:58:52"
"ar-win-2.attackrange.local","AR-WIN-2$","C:\Program Files\SplunkUniversalForwarder\bin\splunk.exe","cmd.exe","C:\Windows\system32\cmd.exe /c btool web list settings --no-log",0xaa8,0xa94,1,"2023-09-24T09:58:51","2023-09-24T09:58:51"
"ar-win-2.attackrange.local","AR-WIN-2$","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe","cmd.exe","C:\Windows\system32\cmd.exe /c """"C:\Program Files\SplunkUniversalForwarder\etc\system\bin\MonitorNoHandle.cmd"" --scheme""",0xbe4,0x790,1,"2023-09-24T09:58:57","2023-09-24T09:58:57"
"ar-win-2.attackrange.local","AR-WIN-2$","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe","cmd.exe","C:\Windows\system32\cmd.exe /c """"C:\Program Files\SplunkUniversalForwarder\etc\system\bin\WinEventLog.cmd"" --scheme""",0xbec,0x790,1,"2023-09-24T09:58:57","2023-09-24T09:58:57"
"ar-win-2.attackrange.local","AR-WIN-2$","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe","cmd.exe","C:\Windows\system32\cmd.exe /c """"C:\Program Files\SplunkUniversalForwarder\etc\system\bin\WinHostMon.cmd"" --scheme""",0xa9c,0x790,1,"2023-09-24T09:58:57","2023-09-24T09:58:57"
"ar-win-2.attackrange.local","AR-WIN-2$","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe","cmd.exe","C:\Windows\system32\cmd.exe /c """"C:\Program Files\SplunkUniversalForwarder\etc\system\bin\WinNetMon.cmd"" --scheme""",0x91c,0x790,1,"2023-09-24T09:58:57","2023-09-24T09:58:57"
"ar-win-2.attackrange.local","AR-WIN-2$","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe","cmd.exe","C:\Windows\system32\cmd.exe /c """"C:\Program Files\SplunkUniversalForwarder\etc\system\bin\WinPrintMon.cmd"" --scheme""",0x7fc,0x790,1,"2023-09-24T09:58:57","2023-09-24T09:58:57"
"ar-win-2.attackrange.local","AR-WIN-2$","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe","cmd.exe","C:\Windows\system32\cmd.exe /c """"C:\Program Files\SplunkUniversalForwarder\etc\system\bin\WinRegMon.cmd"" --scheme""",0xa50,0x790,1,"2023-09-24T09:58:57","2023-09-24T09:58:57"
"ar-win-2.attackrange.local","AR-WIN-2$","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe","cmd.exe","C:\Windows\system32\cmd.exe /c """"C:\Program Files\SplunkUniversalForwarder\etc\system\bin\admon.cmd"" --scheme""",0x908,0x790,1,"2023-09-24T09:58:57","2023-09-24T09:58:57"
"ar-win-2.attackrange.local","AR-WIN-2$","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe","cmd.exe","C:\Windows\system32\cmd.exe /c """"C:\Program Files\SplunkUniversalForwarder\etc\system\bin\perfmon.cmd"" --scheme""",0xa40,0x790,1,"2023-09-24T09:58:57","2023-09-24T09:58:57"
"ar-win-2.attackrange.local","AR-WIN-2$","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe","cmd.exe","C:\Windows\system32\cmd.exe /c """"C:\Program Files\SplunkUniversalForwarder\etc\system\bin\powershell.cmd"" --scheme""",0xa34,0x790,1,"2023-09-24T09:58:58","2023-09-24T09:58:58"
"ar-win-2.attackrange.local","AR-WIN-2$","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe","cmd.exe","C:\Windows\system32\cmd.exe /c """"C:\Program Files\SplunkUniversalForwarder\etc\system\bin\powershell2.cmd"" --scheme""",0xac8,0x790,1,"2023-09-24T09:58:58","2023-09-24T09:58:58"
"ar-win-2.attackrange.local","AR-WIN-2$","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe","cmd.exe","C:\Windows\system32\cmd.exe /c ""C:\Program Files\SplunkUniversalForwarder\bin\splunk.exe"" _RAW_envvars",0xa24,0x790,1,"2023-09-24T09:58:51","2023-09-24T09:58:51"
