dest,user,"parent_process","parent_process_name","process_name","original_file_name",process,"process_id","parent_process_id",count,firstTime,lastTime
"ar-win-2.attackrange.local","AR-WIN-2$","C:\Windows\System32\svchost.exe","svchost.exe","WmiPrvSE.exe",unknown,"C:\Windows\system32\wbem\wmiprvse.exe -secured -Embedding",0x10c8,0x2c0,1,"2023-09-30T10:42:18","2023-09-30T10:42:18"
"ar-win-2.attackrange.local","AR-WIN-2$","C:\Windows\System32\svchost.exe","svchost.exe","WmiPrvSE.exe",unknown,"C:\Windows\system32\wbem\wmiprvse.exe -secured -Embedding",0x134c,0x2c0,1,"2023-09-30T10:48:42","2023-09-30T10:48:42"
"ar-win-2.attackrange.local","AR-WIN-2$","C:\Windows\System32\svchost.exe","svchost.exe","dllhost.exe",unknown,"C:\Windows\system32\DllHost.exe /Processid:{E10F6C3A-F1AE-4ADC-AA9D-2FE65525666E}",0x11cc,0x2c0,1,"2023-09-30T10:49:07","2023-09-30T10:49:07"
"ar-win-2.attackrange.local","AR-WIN-2$","C:\Windows\System32\svchost.exe","svchost.exe","dllhost.exe",unknown,"C:\Windows\system32\DllHost.exe /Processid:{E10F6C3A-F1AE-4ADC-AA9D-2FE65525666E}",0x1414,0x2c0,1,"2023-09-30T10:42:48","2023-09-30T10:42:48"
"ar-win-2.attackrange.local","AR-WIN-2$","C:\Windows\System32\svchost.exe","svchost.exe","dllhost.exe",unknown,"C:\Windows\system32\DllHost.exe /Processid:{E10F6C3A-F1AE-4ADC-AA9D-2FE65525666E}",0xf38,0x2c0,1,"2023-09-30T10:42:16","2023-09-30T10:42:16"
"ar-win-2.attackrange.local","AR-WIN-2$","C:\Windows\System32\svchost.exe","svchost.exe","rundll32.exe",unknown,"""C:\Windows\system32\rundll32.exe"" /d acproxy.dll,PerformAutochkOperations",0xed0,0x494,1,"2023-09-30T10:45:07","2023-09-30T10:45:07"
"ar-win-2.attackrange.local","AR-WIN-2$","C:\Windows\System32\svchost.exe","svchost.exe","taskhostw.exe",unknown,"C:\Windows\System32\taskhostw.exe U",0xbd8,0x494,1,"2023-09-30T10:52:41","2023-09-30T10:52:41"
"ar-win-2.attackrange.local",Administrator,"""C:\Windows\Microsoft.NET\Framework64\v4.0.30319\csc.exe"" /noconfig /fullpaths @""C:\Users\ADMINI~1\AppData\Local\Temp\cvvvzs5t.cmdline""","csc.exe","cvtres.exe","CVTRES.EXE","C:\Windows\Microsoft.NET\Framework64\v4.0.30319\cvtres.exe /NOLOGO /READONLY /MACHINE:IX86 ""/OUT:C:\Users\ADMINI~1\AppData\Local\Temp\RES30BF.tmp"" ""c:\Users\Administrator\AppData\Local\Temp\CSCB57ECC808A674D448D943A6DBF24DE4E.TMP""",3536,3156,1,"2023-09-30T10:42:21","2023-09-30T10:42:21"
"ar-win-2.attackrange.local",Administrator,"""C:\Windows\Microsoft.NET\Framework64\v4.0.30319\csc.exe"" /noconfig /fullpaths @""C:\Users\ADMINI~1\AppData\Local\Temp\hsp0fnbf.cmdline""","csc.exe","cvtres.exe","CVTRES.EXE","C:\Windows\Microsoft.NET\Framework64\v4.0.30319\cvtres.exe /NOLOGO /READONLY /MACHINE:IX86 ""/OUT:C:\Users\ADMINI~1\AppData\Local\Temp\RESA12C.tmp"" ""c:\Users\Administrator\AppData\Local\Temp\CSCCC6D27D02F46400985CFA8B2F033668E.TMP""",5360,5596,1,"2023-09-30T10:42:49","2023-09-30T10:42:49"
"ar-win-2.attackrange.local",Administrator,"""C:\Windows\Microsoft.NET\Framework64\v4.0.30319\csc.exe"" /noconfig /fullpaths @""C:\Users\ADMINI~1\AppData\Local\Temp\q44qdt4m.cmdline""","csc.exe","cvtres.exe","CVTRES.EXE","C:\Windows\Microsoft.NET\Framework64\v4.0.30319\cvtres.exe /NOLOGO /READONLY /MACHINE:IX86 ""/OUT:C:\Users\ADMINI~1\AppData\Local\Temp\RES6994.tmp"" ""c:\Users\Administrator\AppData\Local\Temp\CSCACF33C40EC8E4B4FA351E331B3C08621.TMP""",3500,1044,1,"2023-09-30T10:49:08","2023-09-30T10:49:08"
